клуб
дойти
компьютер
спорт
танк
матч
интервью
пиджак
тренер
чемпион
офис
порт
юмор
лифт
бизнесмен
менеджер
рейтинг
трамвай
футбол
бар
тест
спортсмен
трактор
сэр
