orth phon sense pos gender asp dic_name usg etym_lang
билль БИЛЛЬ " законопроект, выносимый на рассмотрение законодательных органов; а также название некоторых конституционных актов. " сущ. м. None "Толковый словарь Кузнецова" None англ.
бимсы Б'ИМСЫ " Поперечные балки, соединяющие борта судна и служащие основанием палубы. " None None None "Толковый словарь Кузнецова" None англ.
бит БИТ " Минимальная единица измерения количества информации и объёма памяти ЭВМ " сущ. м. None "Толковый словарь Кузнецова" None англ.
битник Б'ИТНИК " направленного против существующей морали и выражающего свой протест в броской одежде, необычных причёсках и манерах и провозглашении добровольной бедности и отрешённости от социальных проблем. " сущ. м. None "Толковый словарь Кузнецова" None англ.
бифштекс БИФШТ'ЕКС " (приготовленный из измельчённого мяса). " сущ. м. None "Толковый словарь Кузнецова" None англ.
блайзер БЛ'АЙЗЕР " Приталенный пиджак спортивного покроя. " сущ. м. None "Толковый словарь Кузнецова" None англ.
блеф БЛЕФ " приём, когда игрок, имеющий плохие карты, действует так, чтобы соперники сочли его карты выигрышными. " сущ. м. None "Толковый словарь Кузнецова" None англ.
блок- БЛ'ОК- " блокировочный. " None None None "Толковый словарь Кузнецова" None англ.
блокада БЛОК'АДА " Окружение города войсками противника в целях прекращения их связей с внешним миром и принуждения к капитуляции. " сущ. ж. None "Толковый словарь Кузнецова" None англ.
блокада БЛОК'АДА " Система мероприятий, направленных на изоляцию какого-л. государства, региона и т.п. с целью принуждения его к выполнению каких-л. требований. " сущ. ж. None "Толковый словарь Кузнецова" None англ.
блюз БЛЮЗ " Парный бальный танец свободной композиции типа медленного фокстрота. " сущ. м. None "Толковый словарь Кузнецова" None англ.
блюминг БЛ'ЮМИНГ " Мощный прокатный стан для обжима стальных слитков в заготовки квадратного сечения. " сущ. м. None "Толковый словарь Кузнецова" None англ.
бобслеист БОБСЛЕ'ИСТ " Вид спорта - скоростной спуск с гор по ледяному жёлобу на специальных санях - бобах. " сущ. м. None "Толковый словарь Кузнецова" None англ.
